time,actor,identity_source,action,order_id,outcome,http_status,previous_status,new_status,request_id
2026-09-26T13:56:44.340848Z,POC-AUDIT-OWNER,VERIFIED_JWT,CREATE_ORDER,1,SUCCESS,201,null,PLACED,c5745be1-0ebb-47b2-9b1a-f8f4214b51ce
2026-09-26T13:56:44.396880Z,POC-AUDIT-OWNER,VERIFIED_JWT,UPDATE_ORDER,1,SUCCESS,200,PLACED,PLACED,4f366a85-03d9-425b-a556-24f228e6559f
2026-09-26T13:56:44.413654Z,POC-AUDIT-OWNER,VERIFIED_JWT,CHANGE_STATUS,1,SUCCESS,200,PLACED,CONFIRMED,bb697c47-eb3a-4d01-a685-2e1d1bd48eee
2026-09-26T13:56:44.430089Z,POC-AUDIT-OWNER,VERIFIED_JWT,CHANGE_STATUS,1,REJECTED,400,null,null,bcd37c72-fb43-42a8-b674-6e677fb2e094
2026-09-26T13:56:44.444838Z,POC-OTHER,VERIFIED_JWT,CHANGE_STATUS,1,DENIED,403,null,null,47489ee8-5be5-42cd-b2e6-70c090f8aba8
2026-09-26T13:56:44.453639Z,POC-AUDIT-OWNER,VERIFIED_JWT,CHANGE_STATUS,1,REJECTED,400,null,null,e4337364-6297-48f3-97b5-12ef52cdd3a6
2026-09-26T13:56:44.461786Z,POC-AUDIT-OWNER,VERIFIED_JWT,CHANGE_STATUS,1,REJECTED,400,null,null,425a0fff-7af6-46b4-82e0-a2b58602a7eb
2026-09-26T13:56:44.474585Z,POC-AUDIT-OWNER,VERIFIED_JWT,CHANGE_STATUS,1,REJECTED,400,null,null,52686e44-3aba-48f9-8b24-a9c08c1f6c84
2026-09-26T13:56:44.484828Z,POC-AUDIT-OWNER,VERIFIED_JWT,CHANGE_STATUS,1,SUCCESS,200,CONFIRMED,CANCELLED,beb6c615-e448-4a8f-b6cd-8ee35905d5b8
2026-09-26T13:56:44.497283Z,POC-AUDIT-OWNER,VERIFIED_JWT,DELETE_ORDER,1,SUCCESS,204,CANCELLED,null,a1a8700e-d109-4b58-9e4c-34e4e02d2954
2026-09-26T13:56:44.509242Z,POC-AUDIT-OWNER,VERIFIED_JWT,READ_ORDER,1,REJECTED,404,null,null,5c449ada-db95-41ce-b1d5-4a9b4dc3ee40
